STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
2403.0,BHEDEN RIVER B/C WITH IB RIVER,ORISSA,26.92,7.94,7.84,252.17,1.69,Safe,,,['NONE']
1279.0,KUAKHAI AT BHUBANESWAR U/S,ORISSA,29.67,6.78,7.91,195.33,2.38,Unsafe,,,['BOD']
1280.0,KUAKHAI AT BHUBANESWAR D/S,ORISSA,29.42,6.48,7.82,244.25,4.29,Unsafe,,,['BOD']
2410.0,DAYA AT BHUBANESWAR FU/S,ORISSA,29.58,7.86,7.93,186.17,1.6,Safe,,,['NONE']
2411.0,DAYA AT BHUBANESWAR FD/S ( 2 KM A/C OF GANGUA NALLAH WITH RIVER DAYA),ORISSA,29.75,6.54,7.66,238.08,3.09,Unsafe,,,['BOD']
1301.0,KATHAJODI AT CUTTACK D/S,ORISSA,29.0,7.21,7.99,218.25,3.35,Unsafe,,,['BOD']
2412.0,SANKHA U/S(D/S MANDIRA DAM),ORISSA,26.83,7.73,7.81,146.92,1.46,Safe,,,['NONE']
2408.0,TEL,ORISSA,29.25,7.78,8.03,194.83,1.58,Safe,,,['NONE']
1640.0,BIRUPA AT CHOUDWAR,ORISSA,29.27,8.69,8.05,194.83,1.57,Safe,,,['NONE']
1641.0,SUBARNAREKHA AT RAJGHAT NEAR BIHAR BORDER,ORISSA,22.67,7.67,8.02,234.25,1.32,Safe,,,['NONE']
