STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
2346.0,"BHADRAKALI CHEVURU, BHADRAKALI TEMPLE, WARANGAL",ANDHRA PRADESH,26.82,5.35,7.86,456.09,15.25,Unsafe,,,"['DO', 'BOD']"
2353.0,"KONDACHARLA-AAVA LAKE,PARAWADA PHARMA CITY,VISHAKHAPATNAM",ANDHRA PRADESH,27.09,6.14,7.61,923.55,1.13,Safe,,,['NONE']
2357.0,DURGAM CHEVURU,ANDHRA PRADESH,26.11,3.32,7.4,1383.8,36.94,Unsafe,,,"['DO', 'BOD']"
2358.0,MALLAPUR TANK,ANDHRA PRADESH,26.82,1.14,7.89,1821.27,32.43,Unsafe,,,"['EC', 'DO', 'BOD']"
2359.0,PEDDA CHEVURU,ANDHRA PRADESH,26.91,1.3,7.75,2373.73,64.75,Unsafe,,,"['EC', 'DO', 'BOD']"
3068.0,"RAMAPPA LAKE,  WARANGAL",ANDHRA PRADESH,26.91,5.6,7.76,290.36,8.04,Unsafe,,,"['DO', 'BOD']"
3069.0,"SHAMEERPET LAKE, SHAMEERPET, RANGA REDDY",ANDHRA PRADESH,27.0,3.38,7.64,900.2,25.0,Unsafe,,,"['DO', 'BOD']"
3070.0,"FOX SAGAR, JEEDIMETLA,  RANGA REDDY",ANDHRA PRADESH,26.9,2.91,7.72,1681.0,38.19,Unsafe,,,"['EC', 'DO', 'BOD']"
3071.0,"LANGARHOUSE LAKE, HYDERABAD",ANDHRA PRADESH,27.13,0.0,7.55,1047.78,38.17,Unsafe,,,"['DO', 'BOD']"
3072.0,"SAFILGUDA LAKE,  RANGA REDDY",ANDHRA PRADESH,27.13,2.44,7.61,1594.67,56.0,Unsafe,,,"['EC', 'DO', 'BOD']"
3073.0,"HASMATHPET LAKE, HASMATHPET,  RANGA REDDY",ANDHRA PRADESH,26.86,1.07,7.53,1623.44,56.25,Unsafe,,,"['EC', 'DO', 'BOD']"
3074.0,"BANJARA LAKE, BANJARA HILLS,  RANGA REDDY",ANDHRA PRADESH,27.83,0.25,8.02,744.0,43.83,Unsafe,,,"['DO', 'BOD']"
3075.0,"RANGADHAMUNI CHERUVU,  RANGA REDDY",ANDHRA PRADESH,27.25,5.19,7.6,1260.0,54.89,Unsafe,,,"['DO', 'BOD']"
3076.0,"AMBER CHERUVU, KUKATPALLY,  RANGA REDDY",ANDHRA PRADESH,26.17,4.97,7.54,1672.5,46.86,Unsafe,,,"['EC', 'DO', 'BOD']"
3077.0,"KAPRA CHERUVU, KAPRA,  RANGA REDDY",ANDHRA PRADESH,26.56,4.78,7.75,1480.3,29.88,Unsafe,,,"['DO', 'BOD']"
