STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1316.0,BASSEIN CREEK AT BASSIN IN THANE,MAHARASHTRA,25.42,5.38,7.8,36176.0,9.08,Unsafe,,,"['EC', 'DO', 'BOD']"
1318.0,MAHIM CREEK AT MAHIM BAY,MAHARASHTRA,28.7,4.5,7.48,40025.3,12.12,Unsafe,19.0312098,72.8249607,"['EC', 'DO', 'BOD']"
1317.0,THANE CREEK AT ELEPHANTA ISLAND,MAHARASHTRA,28.75,5.08,7.73,50655.8,10.08,Unsafe,,,"['EC', 'DO', 'BOD']"
2793.0,"THANE CREEK AT KALWA ROAD BRIDGE, KALWA, THANE",MAHARASHTRA,28.25,3.43,7.41,16482.9,21.61,Unsafe,19.1970028,72.9856026,"['EC', 'DO', 'BOD']"
2791.0,"ULHAS CREEK AT RETI BUNDER, D/S OF KALYAN- BHIWANDI BDG",MAHARASHTRA,27.73,4.53,7.17,5798.36,18.55,Unsafe,,,"['EC', 'DO', 'BOD']"
2792.0,"ULAHS CREEK AT MUMBRA RETI BUNDER, VILLAGE MUMBRA, THANE",MAHARASHTRA,28.08,4.65,7.52,21734.8,11.48,Unsafe,,,"['EC', 'DO', 'BOD']"
2794.0,"ULHAS CREEK AT KOSHLET RETI BUNDER, KOLSHET, THANE",MAHARASHTRA,28.5,5.4,7.37,17271.6,9.5,Unsafe,,,"['EC', 'DO', 'BOD']"
2795.0,"ULHAS CREEK AT GAIMUKH AT NAGLA BUNDER ON GHOD BUNDER ROAD, NAGLA, THANE",MAHARASHTRA,28.42,4.88,7.59,24135.6,10.08,Unsafe,,,"['EC', 'DO', 'BOD']"
2796.0,"ULHAS CREEK AT VERSOVA BRIDGE, VERSOVA, VASAI, THANE",MAHARASHTRA,25.5,5.24,7.71,30131.9,9.48,Unsafe,,,"['EC', 'DO', 'BOD']"
2184.0,VASHI CREEK AT AIROLI BRIDGE.,MAHARASHTRA,26.64,4.78,7.55,30980.2,8.49,Unsafe,,,"['EC', 'DO', 'BOD']"
2185.0,VASHI CREEK AT VASHII BRIDGE.,MAHARASHTRA,28.33,5.13,7.42,37849.3,9.18,Unsafe,19.0624142,72.9734576,"['EC', 'DO', 'BOD']"
2797.0,"BHAYANDER CREEK AT D/S OF RAILWAY BRIDGE, JASAL PARK CHOUPATHY, NAVGHAR, BHAYANDER, THANE",MAHARASHTRA,25.33,5.5,7.78,33200.8,8.88,Unsafe,,,"['EC', 'DO', 'BOD']"
2798.0,"KHAREKURAN MURBE CREEK, KHAREKURAN, PALGHAR, THANE",MAHARASHTRA,27.58,4.22,7.6,48643.4,12.18,Unsafe,,,"['EC', 'DO', 'BOD']"
2799.0,"DANDI CREEK, DANDI, PALGHAR, THANE",MAHARASHTRA,27.64,4.49,7.6,55022.7,10.04,Unsafe,,,"['EC', 'DO', 'BOD']"
2800.0,"SARAWALI CREEK, SARAWALI, PALGHAR, THANE",MAHARASHTRA,27.58,4.88,7.88,10203.7,8.68,Unsafe,19.9782683,72.7777596,"['EC', 'DO', 'BOD']"
2801.0,"SAVTA CREEK, SAVTA, DAHANU, THANE",MAHARASHTRA,27.75,5.44,8.01,36781.8,8.25,Unsafe,19.965473,72.7764788,"['EC', 'DO', 'BOD']"
2802.0,DAHANU CREEK AT DAHANU FORT,MAHARASHTRA,27.83,5.5,8.03,36643.8,8.74,Unsafe,19.9727735,72.7205029,"['EC', 'DO', 'BOD']"
2803.0,"PANVEL CREEK AT KOPRA BRIDGE, KOPRA, PANVEL, RAIGAD",MAHARASHTRA,29.18,4.87,6.9,19209.8,9.7,Unsafe,,,"['EC', 'DO', 'BOD']"
2804.0,KARAMBAVANE CREEK AT CHIPLUN.,MAHARASHTRA,23.25,6.55,7.32,3484.4,2.75,Unsafe,,,"['EC', 'BOD']"
2165.0,SEA WATER AT GATEWAY OF INDIA.,MAHARASHTRA,28.73,4.61,7.69,52860.0,10.72,Unsafe,18.9219841,72.8346543,"['EC', 'DO', 'BOD']"
2166.0,SEA WATER AT CHARNI ROAD CHOUPATHY.,MAHARASHTRA,27.0,4.72,7.66,51690.0,10.68,Unsafe,18.9515801,72.8187988,"['EC', 'DO', 'BOD']"
