STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean
2531,U/S OF TARAPITH ON RIVER DWARKA AT SADHAK BAMDEB GHAT,WEST BENGAL,28.33,7.67,400.33
2532,"D/S OF TARAPITH ON RIVER DWARKA, SATIGHAT",WEST BENGAL,28.42,7.84,416.08
2508,"D/S OF SILABATI AT GHATAL,",WEST BENGAL,28.29,7.5,180.87
2514,"JALANGI, D/S OF KRISHNA NAGAR",WEST BENGAL,28.38,7.7,391.58
1764,CHURNI D/S OF SANTIPUR TOWN,WEST BENGAL,28.75,7.66,468.5
2518,"CHURNI, MAJHADIA",WEST BENGAL,28.67,7.55,493.25
2517,"MATHA BHANGA, GOBINDAPUR",WEST BENGAL,28.54,7.58,494.42
2534,WATER INTAKE POINT FOR SURI TOWN ON RIVER MAYURAKSHI,WEST BENGAL,27.46,7.82,154
2507,"D/S OF KANSI AT MIDNAPORE, NEAR NEW HANUMAN MANDIR, GANDHIGHAT",WEST BENGAL,29.75,7.47,200.05
1946,MAHANANDA AT SILIGURI,WEST BENGAL,26.17,7.3,165.55
2525,"MAHANANDA D/S, RAMGHAT",WEST BENGAL,23.75,7.66,158.76
2572,"MAHANANDA AT THAKURGANJ, KISHANGANJ ROAD BRIDGE",BIHAR,23.55,7.75,300.55
2549,U/S OF VINDYADHARI RIVER AT HAROA BRIDGE,WEST BENGAL,27.25,7.67,3351.67
2550,D/S OF VINDYADHARI RIVER AT MALANCHA BURNING GHAT,WEST BENGAL,27.38,7.58,9812.75
2396,JUMAR AT KANKE DAM,JHARKHAND,27.21,6.98,407.5
1796,DHANSIRI AT FULL NAGARJAN,NAGALAND,26.2,7.14,178.55
1799,DHANSIRI AT TOWN BOUNDARY BDG (DIPHU RD),NAGALAND,25.55,7.44,190.4
1797,"DHANSIRI AT BRIDGE NEAR PURANA BAZAAR,",NAGALAND,25.7,7.38,227.7
1800,DHANSIRI AT NUTON BASTI,NAGALAND,23.47,6.94,221
1798,DHANSIRI NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROAD),NAGALAND,26.55,7.53,208.9
1259,DHANSIRI AT GOLAGHAT,ASSAM,30,7.08,146.75
1928,"DHANSIRI AT NAGALAND-ASSAM BORDER, DIMAPUR",NAGALAND,24.74,7.23,254.76
1930,DZU D/S KOHIMA TOWN,NAGALAND,20.03,8.13,365.5
1929,"CHATHE AT MEDZIPHEMA, DIMAPUR",NAGALAND,27.13,7.86,97.3
1491,BHAGIRATHI AT GANGOTRI,UTTARANCHAL,8,8.38,94
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,UTTARANCHAL,16.35,8,143.33
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,UTTARANCHAL,16.9,8.13,86.67
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,UTTARANCHAL,16.25,7.99,129
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,UTTARANCHAL,16.78,8.1,136.33
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,UTTARANCHAL,17.83,8.11,99.2
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,UTTARANCHAL,17.23,7.93,131.33
1060,GANGA AT RISHIKESH U/S,UTTARANCHAL,17.47,7.73,119.25
2725,GANGA AFTER CONFL. OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARANCHAL,21.73,7.85,387.89
1061,GANGA AT HARIDWAR D/S,UTTARANCHAL,21.21,7.63,188.67
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARANCHAL,20.93,7.76,157.75
1062,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,19.58,7.38,219.75
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,19.33,7.33,221.75
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,19.5,7.38,230.25
1145,GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,20.33,7.34,216.25
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,20.33,7.38,251.08
1063,GANGA AT KANNAUJ U/S (RAJGHAT),UTTAR PRADESH,24.75,8.08,107.58
1066,GANGA AT KANNAUJ D/S,UTTAR PRADESH,24.75,8.12,107.92
1146,GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,24.75,8.21,104.82
1067,GANGA AT KANPUR U/S (RANIGHAT),UTTAR PRADESH,24.75,8.39,105.89
1068,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),UTTAR PRADESH,24.75,8.29,127.01
1147,GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,20.42,7.87,240.42
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,20.42,7.85,237.08
1046,GANGA AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,24.08,8.25,458.83
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,23.91,8.2,441
1049,GANGA AT ALLAHABAD D/S (SANGAM),UTTAR PRADESH,24.52,8.21,510.58
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,26.25,7.89,455.69
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,26.58,7.76,460.31
1070,GANGA AT VARANASI U/S (ASSIGHAT),UTTAR PRADESH,24.93,8.2,250.5
1071,GANGA AT VARANASI D/S (MALVIYA BRIDGE),UTTAR PRADESH,25.28,8.52,276.67
1073,GANGA AT TRIGHAT (GHAZIPUR),UTTAR PRADESH,25.06,8.46,288.25
2502,"SHUKRA TAL, MUZAFFARNAGAR, NEAR GANGA RIVER",UTTAR PRADESH,18,7.2,276
3036,SHUKRA TAL (GANGA),UTTAR PRADESH,,7.95,374.5
1074,"GANGA AT BUXAR,BIHAR",BIHAR,24.17,8.05,353.42
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,24.35,7.92,361.5
1077,"GANGA AT KHURJI, PATNA U/S",BIHAR,23.75,8.02,335.08
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,24.3,7.83,309.9
2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,22.73,8.03,343.75
2552,GANGA DARBHANGA GHAT AT PATNA,BIHAR,24.25,8.07,351.83
1079,"GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR",BIHAR,24.29,8.08,357.5
2555,"GANGA AT PUNPUN, PATNA",BIHAR,23.83,7.88,411
2553,GANGA AT FATUHA,BIHAR,23.83,8.12,343.83
1817,GANGA AT MOKAMA (U/S),BIHAR,23.82,7.99,324.73
1815,GANGA AT MOKAMA (D/S),BIHAR,23.63,7.93,330
1818,GANGA AT MUNGER,BIHAR,24.18,7.87,329.18
2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,23.95,7.88,336.36
1819,GANGA AT BHAGALPUR,BIHAR,23.33,7.91,333.67
1816,GANGA AT KAHALGAON,BIHAR,23.33,7.94,330.25
3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR,24.42,8.05,346.75
3114,GANGA RIVER NEAR DANAPUR (NEAR PIPAPUL),BIHAR,24.04,8.12,336.58
3115,GANGA RIVER AT BARH,BIHAR,23.33,7.97,331.43
3116,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR,23.8,7.89,322.4
3117,GANGA AT U/S SULTANGANJ,BIHAR,23.28,7.92,334.22
3118,GANGA AT U/S BHAGALPUR,BIHAR,26.5,7.85,341
3122,"GANGA AT MALSALAMI, PATNA",BIHAR,24,8.06,340.67
3123,GANGA RIVER AT BARAHIA,BIHAR,26.4,7.94,327.6
1080,GANGA AT BAHARAMPORE,WEST BENGAL,26.92,7.82,281.18
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,27,7.78,275.29
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL,27,8.11,273.36
1054,GANGA AT PALTA,WEST BENGAL,27.58,7.8,287.97
1472,GANGA AT SERAMPORE,WEST BENGAL,27.29,7.99,280.12
1053,GANGA AT DAKSHMINESWAR,WEST BENGAL,28.25,7.82,314.58
1471,GANGA AT HOWRAH-SHIVPUR,WEST BENGAL,27.33,7.81,305.83
1470,GANGA AT GARDEN REACH,WEST BENGAL,27.25,7.91,311.92
1052,GANGA AT ULUBERIA,WEST BENGAL,27.33,7.81,331.17
1469,GANGA AT DIAMOND HARBOUR,WEST BENGAL,27.58,7.91,2447.92
1312,"GODAVARI AT JAYAKWADI DAM, AURNAGABAD",MAHARASHTRA,27.67,8.48,590.2
2177,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA,24.27,7.58,285.23
2182,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA,24.25,7.38,317.61
2179,"GODAVARI RIVER AT HANUMAN GHAT, NASHIK CITY.",MAHARASHTRA,24.09,7.32,438.7
2183,GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,MAHARASHTRA,24.5,7.46,312.25
2181,"GODAVARI RIVER AT KAPILA- GODAVARI CONFL. PT, TAPOVAN.",MAHARASHTRA,24.64,7.36,523.22
2180,GODAVARI NEAR TAPOVAN.,MAHARASHTRA,24.36,7.49,425.9
1096,GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA,24.27,7.43,407.3
1211,GODAVARI AT NASIK D/S,MAHARASHTRA,24.36,7.4,406.58
1095,"GODAVARI AT U/S OF GANGAPUR DAM,NASIK",MAHARASHTRA,26.09,7.57,191.5
2160,"GODAVARI U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.",MAHARASHTRA,27.17,8.18,762.48
