STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean
1203.0,"CAUVERY AT TRICHY,GRAND ANAICUT",TAMILNADU,28.0,5.52,7.75,807.42,1.85
1206.0,CAUVERY AT THANJAVUR,TAMIL NADU,26.5,6.93,8.17,766.67,0.98
3018.0,"CAUVERY AT MAYILADUTHURAI, NAGAPATTINAM",TAMILNADU,24.0,6.16,7.96,722.0,0.82
3012.0,"CAUVERY AT KOMARAPALAYAM, NAMAKA",TAMILNADU,27.82,5.25,7.79,479.73,2.47
3013.0,"CAUVERY AT URRACHIKOTTAI, ERODE",TAMILNADU,28.0,6.48,7.77,339.75,0.94
3014.0,"CAUVERY AT VAIRAPALAYAM, NAMAKAL",TAMILNADU,27.75,5.24,7.88,417.17,1.63
3017.0,"CAUVERY AT KUMBAKONAM, THANJAVUR",TAMILNADU,27.78,6.72,7.96,571.22,1.2
1326.0,CAUVERY AT COLEROON,TAMILNADU,30.92,7.03,8.17,8300.25,0.79
1327.0,CAUVERY AT PITCHAVARAM,TAMILNADU,30.88,4.9,8.34,2121.5,3.57
1331.0,DAMODAR AT DISHERGARH VILL.(NR.BIHAR-WEST BENGAL BORDER),WEST BENGAL,26.54,8.37,7.51,219.92,3.35
1332.0,DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA,WEST BENGAL,27.13,8.31,7.7,247.17,1.91
1333.0,DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH,WEST BENGAL,26.75,7.85,7.68,292.0,3.17
1334.0,DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAMLA NALLAH,WEST BENGAL,29.38,6.88,7.86,466.0,4.82
1335.0,"DAMODAR AT HOOGHLY, DURGACHAK, NEAR PATHIKALI",WEST BENGAL,28.63,6.71,7.31,8395.83,2.98
2527.0,DAMODAR AT WATER INTAKE POINT FOR BURDWAN TOWN,WEST BENGAL,29.0,8.87,7.91,278.33,3.28
1336.0,BARAKAR AT ASANSOL (WATER INTAKE POINT),WEST BENGAL,27.08,8.05,7.76,210.0,2.78
2509.0,"D/S OF RUPNARAYAN AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3",WEST BENGAL,27.71,6.61,7.56,913.61,2.35
1337.0,RUPNARAYAN B/C TO RIVER GANGA NEAR GEONKHALI,WEST BENGAL,27.92,6.49,7.43,2518.33,1.26
2541.0,WATER INTAKE PT FOR BANKURA TOWN ON RIVER DWARAKESHWAR,WEST BENGAL,28.67,7.77,7.85,310.75,1.68
2531.0,U/S OF TARAPITH ON RIVER DWARKA AT SADHAK BAMDEB GHAT,WEST BENGAL,28.33,6.53,7.67,400.33,5.96
2532.0,"D/S OF TARAPITH ON RIVER DWARKA, SATIGHAT",WEST BENGAL,28.42,9.08,7.84,416.08,7.01
2508.0,"D/S OF SILABATI AT GHATAL,",WEST BENGAL,28.29,6.88,7.5,180.87,2.12
2514.0,"JALANGI, D/S OF KRISHNA NAGAR",WEST BENGAL,28.38,7.06,7.7,391.58,3.31
1764.0,CHURNI D/S OF SANTIPUR TOWN,WEST BENGAL,28.75,4.69,7.66,468.5,4.0
2518.0,"CHURNI, MAJHADIA",WEST BENGAL,28.67,2.97,7.55,493.25,5.73
2517.0,"MATHA BHANGA, GOBINDAPUR",WEST BENGAL,28.54,2.34,7.58,494.42,7.57
2534.0,WATER INTAKE POINT FOR SURI TOWN ON RIVER MAYURAKSHI,WEST BENGAL,27.46,7.48,7.82,154.0,2.28
2507.0,"D/S OF KANSI AT MIDNAPORE, NEAR NEW HANUMAN MANDIR, GANDHIGHAT",WEST BENGAL,29.75,8.77,7.47,200.05,2.55
1946.0,MAHANANDA AT SILIGURI,WEST BENGAL,26.17,6.83,7.3,165.55,2.98
2525.0,"MAHANANDA D/S, RAMGHAT",WEST BENGAL,23.75,7.12,7.66,158.76,3.39
2549.0,U/S OF VINDYADHARI RIVER AT HAROA BRIDGE,WEST BENGAL,27.25,1.35,7.67,3351.67,7.07
2550.0,D/S OF VINDYADHARI RIVER AT MALANCHA BURNING GHAT,WEST BENGAL,27.38,1.67,7.58,9812.75,5.47
1259.0,DHANSIRI AT GOLAGHAT,ASSAM,30.0,6.63,7.08,146.75,1.45
1062.0,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,19.58,8.58,7.38,219.75,3.37
2488.0,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,19.33,9.22,7.33,221.75,3.12
2489.0,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,19.5,9.18,7.38,230.25,3.23
1145.0,GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,20.33,9.34,7.34,216.25,2.65
2490.0,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,20.33,8.96,7.38,251.08,2.69
1063.0,GANGA AT KANNAUJ U/S (RAJGHAT),UTTAR PRADESH,24.75,8.57,8.08,107.58,3.99
1066.0,GANGA AT KANNAUJ D/S,UTTAR PRADESH,24.75,8.25,8.12,107.92,4.78
1146.0,GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,24.75,8.71,8.21,104.82,4.13
1067.0,GANGA AT KANPUR U/S (RANIGHAT),UTTAR PRADESH,24.75,8.73,8.39,105.89,4.27
1068.0,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),UTTAR PRADESH,24.75,6.6,8.29,127.01,8.32
1147.0,GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,20.42,7.74,7.87,240.42,3.5
2498.0,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,20.42,7.84,7.85,237.08,3.43
1046.0,GANGA AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,24.08,7.42,8.25,458.83,5.58
2487.0,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,23.91,7.83,8.2,441.0,4.83
1049.0,GANGA AT ALLAHABAD D/S (SANGAM),UTTAR PRADESH,24.52,7.13,8.21,510.58,5.09
2485.0,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,26.25,8.51,7.89,455.69,2.77
2486.0,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,26.58,7.85,7.76,460.31,3.32
1071.0,GANGA AT VARANASI D/S (MALVIYA BRIDGE),UTTAR PRADESH,25.28,7.41,8.52,276.67,4.95
1073.0,GANGA AT TRIGHAT (GHAZIPUR),UTTAR PRADESH,25.06,7.61,8.46,288.25,3.67
1080.0,GANGA AT BAHARAMPORE,WEST BENGAL,26.92,7.63,7.82,281.18,3.42
2511.0,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,27.0,7.55,7.78,275.29,2.37
2506.0,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL,27.0,7.37,8.11,273.36,1.64
1054.0,GANGA AT PALTA,WEST BENGAL,27.58,7.03,7.8,287.97,3.13
1472.0,GANGA AT SERAMPORE,WEST BENGAL,27.29,7.0,7.99,280.12,2.35
1053.0,GANGA AT DAKSHMINESWAR,WEST BENGAL,28.25,6.08,7.82,314.58,4.13
1471.0,GANGA AT HOWRAH-SHIVPUR,WEST BENGAL,27.33,6.02,7.81,305.83,2.94
1470.0,GANGA AT GARDEN REACH,WEST BENGAL,27.25,6.23,7.91,311.92,3.25
1052.0,GANGA AT ULUBERIA,WEST BENGAL,27.33,5.48,7.81,331.17,3.25
1469.0,GANGA AT DIAMOND HARBOUR,WEST BENGAL,27.58,6.67,7.91,2447.92,2.43
