STATION CODE,LOCATIONS,ZIP,date_of_deployment,kit_status,,,,,,,,
2180,GODAVARI NEAR TAPOVAN.,422003,,WORKING,,,,,,,,
1096,GODAVARI AT PANCHAVATI AT RAMKUND,422001,,WORKING,,,,,,,,
1211,GODAVARI AT NASIK D/S,422011,,WORKING,,,,,,,,
1095,"GODAVARI AT U/S OF GANGAPUR DAM,NASIK",,,WORKING,,,,,,,,
2160,"GODAVARI U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.",,,WORKING,,,,,,,,
2158,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI .,,,WORKING,,,,,,,,
2159,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BDG,,,WORKING,,,,,,,,
2161,"GODAVARI AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD",,,WORKING,,,,,,,,
12,GODAVARI AT DHALEGAON,,,WORKING,,,,,,,,
1210,GODAVARI AT NANDED,431605,,WORKING,,,,,,,,
1209,GODAVARI AT RAHER,,,WORKING,,,,,,,,
2157,GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,,,WORKING,,,,,,,,
2360,"GODAVARI AT BASARA, ADILABAD",504101,,WORKING,,,,,,,,
2361,"GODAVARI  AT MANCHERIAL, NR RLY BDG B/C OF RALLAVAGU",,,WORKING,,,,,,,,
2362,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",,,WORKING,,,,,,,,
2363,"GODAVARI AT GODAVARIKHANI, NR BATHING GHAT, KARIMNAGAR",,,WORKING,,,,,,,,
2364,"GODAVARI AT RAMAGUNDAM U/S , KARIMNAGAR",,,WORKING,,,,,,,,
2356,"GODAVARI D/S OF RAMANUGUNDAM,",500003,,WORKING,,,,,,,,
2365,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",,,WORKING,,,,,,,,
